Species	Family	Outgroup
Sylvicola cinctus	Anisopodidae	yes
Penthetria funebris	Bibionidae	
Bibio marci	Bibionidae	
Dilophus febrilis	Bibionidae	
Bolitophila cinerea	Bolitophilidae	
Bolitophila hybrida	Bolitophilidae	
Bolitophila cinerea	Bolitophilidae	
Macrocera vittata	Bolitophilidae	
Catotricha subobsoleta	Cecidomyiidae	
Lestremia cinerea	Cecidomyiidae	
Mayetiola destructor	Cecidomyiidae	
Aphidoletes aphidimyza	Cecidomyiidae	
Obolodiplosis robiniae	Cecidomyiidae	
Contarinia nasturtii	Cecidomyiidae	
Resseliella maxima	Cecidomyiidae	
Sitodiplosis mosellana	Cecidomyiidae	
Diadocidia ferruginosa	Diadocidiidae	
Symmerus nobilis	Ditomyiidae	
Platyura marginata	Keroplatidae	
Gnoriste bilineata	Mycetophilidae	
Bradysia odoriphaga	Sciaridae	
Bradysia coprophila	Sciaridae	
Bradysia impatiens	Sciaridae	
Pseudolycoriella hygida	Sciaridae	
Phytosciara flavipes	Sciaridae	
Trichosia splendens	Sciaridae	
Lycoriella ingenua	Sciaridae	
